penulis,judul,tahun,deskripsi,tautan,kata_kunci
zulkifli aminullah,lexicon-based approach pada analisis sentimen ulasan airbnb menggunakan metode vader sentiment,2024,"Analisis sentimen telah menjadi fokus penelitian yang penting dalam
memahami opini dan tanggapan user terhadap suatu produk atau layanan. Dalam
konteks industri hospitality, platform seperti airbnb menjadi sumber yang kaya
akan tanggapan atau ulasan dari pengguna. Pada penelitian ini, dilakukan analisis
sentimen dengan basis pendekatan leksikon untuk menganalisis sentimen ulasan
airbnb menggunakan metode vader sentiment dengan jumlah data ulasan sebanyak
9930. Pendekatan ini memanfaatkan kumpulan kata dalam lexical resource vader
yang telah diberi nilai sentimen untuk mengekstrak opini positif, negatif, dan netral
dengan acuan ambang batas dan rules yang sesuai. Tujuannya yaitu adalah untuk
memaksimalkan kinerja dari algoritma vader sentiment. Dengan menggunakan
rules yang sesuai, vader sentiment berhasil mengklasifikasikan sentimen positif
sebesar 79,3%, negatif 14,6%, dan netral 6,1% dengan hasil nilai true pada kelas
pada kelas positif sebesar 77,8%, negatif 17,3%, netral sebesar 4,9%. Penerapan
ambang batas positif 0,05, negatif -0,05, dan netral berada diantara 0,05 dan -0,05
terbukti dapat memaksimalkan vader dalam mengklasifikasikan kelas yang sesuai
sentimennya dengan validasi dari para ahli sebagai pembanding. Vader
menghasilkan nilai akurasi sebesar 96%, presisi 91%, dan recall 93%.",https://drive.google.com/file/d/1PrP0vCpWeZv8eQx6TDOQE9ELwwLWie48/view?usp=sharing,"airbnb, analisis sentimen, lexicon-based, vader sentiment."
"vany ayu anggraini",analisis sentimen komentar produk skintific menggunakan metode multinomial naive bayes,2024,"Penggunaan internet saat ini mengalami pertumbuhan yang cepat, dan
dengan ketergantungan yang kuat individu terhadap internet. Banyak masyarakat
yang mengungkapkan pendapat mereka melalui media online. Salah satu media
sosial yang digunakan untuk mengungkapkan pendapat yaitu di platform twitter.
Skintific merupakan sebuah brand skincare yang berasal dari Kanada dan dikelola
oleh perusahaan Skintific Ltd. Skintific melalui sosial media berhasil
menunjukkann first impression yang memiliki dampak yang cukup kuat terhadap
brand awareness. Namun dalam penggunaannya, diperlukan analisis yang akurat
agar informasi yang dihasilkan dapat memberikan dukungan kepada pihak
perusahaan dalam pengambilan keputusan atau pilihan tertentu. Analisis sentimen
menjadi sangat penting dalam menyaring komentar-komentar di media sosial.
Melalui analisis sentimen pada komentar, kita dapat mengidentifikasi komentar
yang bersifat negatif dan positif. Salah satu cara yang dapat digunakan untuk
menganalisis opini dalam komentar pada suatu postingan adalah analisis sentiment.
Penelitian ini bertujuan untuk mengetahui nilai akurasi, presisi dan recall hasil dari
penerapan metode Multinomial Naïve Bayes dalam menganalisis sentimen ulasan
produk Skintific. Metode yang digunakan dalam penelitian ini adalah metode
penelitian deskriptif. Hasil yang diperoleh dalam penelitian ini dengan
menggunakan sebanyak 300 data dengan data komentar positif sebanyak 174 dan
komentar negatif sebanyak 126. Dengan pengujian K-Fold 2, 3, 5, 6, 10
menggunakan metode Multinomial Naïve Bayes diperoleh hasil pengukuran
tertinggi tingkat akurasi sebesar 83% dengan presisi 93% dan recall 77,7% pada
10-Fold Cross Validation langkah uji keempat.",https://drive.google.com/file/d/1g4_cnzAMmld0lKZnCj7vDUqel2hC9Whz/view?usp=sharing,"skintific, analisis sentimen, multinomial naive bayes."
wanda afrilia ayu,"sistem pendukung keputusan pemilihan hotel terbaik di kabupaten jember menggunakan metode moora
berbasis android",2024,"Hotel adalah jenis akomodasi dengan menawarkan tempat tinggal, layanan
makanan, minuman serta berbagai layanan lainnya kepada tamunya. Perkembangan
industri menjadikan banyaknya pariwisata tidak hanya berkutat di perkotaan saja,
tetapi di berbagai kecamatan mulai bermunculan destiwisata baru sehingga
memiliki banyak hotel baru pula. Keragaman hotel membuat wisatawan sering kali
kesulitan dalam menentukan hotel yang sesuai dengan kebutuhan dan kriteria
sehingga diperlukan suatu aplikasi pendukung keputusan yang dapat membantu
wisatawan dalam menentukan hotel dengan suatu metode. Penentuan prioritas
pemilihan hotel memerlukan data akurat berbasis komputer sebagai dasar setiap
pemberian keputusan dalam pemilihan hotel. Sistem tersebut dikenal sebagai
Sistem Pendukung Keputusan (SPK). SPK merupakan suatu metode yang dibangun
untuk menyelesaikan permasalahan yang terstruktur. Salah satu metode yang dapat
digunakan dalam pengambilan keputusan adalah metode Multi-Objective
Optimazation On The Basis Of Ratio Analysis (MOORA). Hasil pengujian untuk
mengatahui tingkat penerimaan pengguna masuk pada kategori Acceptable atau
dapat diterima, Grade Scale dengan nilai C dan Adjectie Rating kategori Good.",https://drive.google.com/file/d/11tf8AKx1LfrQG_tBgEFWaMOscp4k1KtK/view?usp=sharing,"hotel, sistem pendukung keputusan, multi-objective optimazation on
the basis of ratio analysis."
moch. halimi firdausi,analisis sentimen kenaikan harga beras menggunakan metode multinomial naive bayes,2024,"Penelitian ini bertujuan menganalisis sentimen terkait kenaikan harga beras
di Indonesia menggunakan metode Multinomial Naïve Bayes. Sebagai negara
agraris, sektor pertanian, khususnya pertanian padi, memiliki peran penting dalam
perekonomian nasional. Kenaikan harga beras yang signifikan menciptakan respon
di media sosial, terutama Twitter. Studi terdahulu menunjukkan bahwa Multinomial
Naïve Bayes berhasil menganalisis sentimen opini publik. Namun, ada peluang
peningkatan performa model. Penelitian ini relevan karena mengusulkan analisis
sentimen terhadap kenaikan harga beras dengan metode Multinomial Naïve Bayes.
Hasil pengujian k-fold 10 langkah menunjukkan bahwa model berhasil
memprediksi sentimen negatif terhadap kenaikan harga beras. Dengan akurasi 94%,
presisi 94%, dan recall 89%, model memberikan gambaran baik tentang
kemampuannya. Temuan ini bermanfaat untuk menilai sentimen dari komentar-
komentar di media sosial terkait kenaikan harga beras. Penelitian ini memberikan
kontribusi penting dalam mendukung pemahaman pandangan masyarakat terkait
kenaikan harga beras di Indonesia. Analisis sentimen ini dapat memberikan
wawasan mendalam untuk mendukung pengambilan keputusan yang lebih baik
dalam menghadapi isu ekonomi-sosial yang memengaruhi kehidupan sehari-hari
masyarakat.",https://drive.google.com/file/d/16qONkuX5VPvAC3Z2nJkN9WqdoQwosbvq/view?usp=sharing,"harga beras, analisis sentimen, multinomial naive bayes."
dimas erisma faishol,"analisis dan evaluasi protokol keamanan jaringan nirkabel wi-fi protected access versi 3 menggunakan 
metode penetration testing",2024,"Teknologi informasi dan komunikasi adalah hal yang terpisahkan dari kehidupan
di era sekarang ini. Salah satunya yaitu jaringan nirkabel. Pada penelitian ini
menggunakan metode Penetration Testing untuk melakukan analisis terhadap
sistem keamanan teknologi wireless yang sering kita gunakan setiap hari. Dalam
menganalisa keamanan jaringan wireless dilakukan dengan metode Penetration
Testing dengan melakukan serangan terhadap jaringan yang disimulasikan, sistem
operasi yang digunakan untuk melakukan pengujian adalah Kali Linux. Hasil dari
penelitian ini menunjukkan keamanan jaringan yang menggunakan protokol
WPA3 masih memiliki rentan terhadap celah untuk dieksploitasi. Uji coba
peretasan ini hanya bertujuan sebagai edukasi semata, tidak diperkenankan untuk
melakukan tindak kejahatan seperti mencuri data pribadi pengguna jaringan.
Dengan mengetahui celah keamanan ini maka akan menjadi salah satu evaluasi
agar dapat memberikan keamanan yang lebih baik.",https://drive.google.com/file/d/1ESRjBB3fnUt0bCYyl8-vjvvFPxBkP8xF/view?usp=sharing,"wpa3, keamanan jaringan, pengujian penetrasi, analisis, jaringan
nirkabel."
Michael Farel Faraday,sistem pakar diagnosa penyakit kulit pada kucing menggunakan metode certainty factor berbasis android,2024,"Kulit merupakan organ terbesar pada tubuh kucing yang menjembatani antara tubuh
dan lingkungan eksternal. Selain itu, kulit adalah sebuah cerminan kesehatan
kucing secara normal serta dapat dijadikan sebuah indikasi terdapatnya suatu
penyakit kulit pada kucing. Dokter hewan (veterinarian) spesialis kucing umumnya
membuka praktek hanya dikota-kota besar saja, dan tidak ada sama sekali untuk
wilayah kecil seperti pedesaan, akibatnya tidak sedikit para pemilik kucing yang
terlambat memberikan pengobatan untuk penyakit kulit dari gejala pertama. Sistem
pakar atau expert system merupakan suatu perangkat lunak (software) atau sistem
informasi yang mempunyai seputar ilmu dari seorang pakar mengenai suatu bidang
tertentu. Mudahnya, sistem pakar adalah suatu program komputer yang bisa meniru
keahlian dari seorang pakar, seperti dokter, dan psikolog dalam mendiagnosa suatu
penyakit.Metode yang digunakan pada penelitian ini adalah Certainty Factor atau factor
kepastian. Metode ini sangatlah cocok dalam proses diagnosa penyakit, karena
Certainty Factor adalah suatu metode yang berguna untuk mengatasi permasalahan
yang memiliki tingkat ketidakpastian dalam jawabannya. Ketidakpastian dapat
didefinisikan sebagai kurangnya pengetahuan yang tepat dan memungkinkan kita
untuk mencapai kesimpulan yang dapat diandalkan secara sempurna. Hasil dari
penelitian metode certainty factor dapat diaplikasikan dalam sistem pakar yang
telah dibuat dengan akurasi yang telah divalidasi oleh pakar terhadap 20 data uji
baru dengan nilai akurasi sebesar 100%, hal ini menyatakan bahwa aplikasi Sistem
Pakar Diagnosa Penyakit Kulit Pada Kucing layak untuk digunakan.",https://drive.google.com/file/d/1SA8GNhMr0cegeZGU8XEjMC9zfMVP9nDV/view?usp=sharing,"sistem pakar, certainty factor, kulit kucing, android."
lutfi fauzi,penerapan algoritma support vector machine (svm) untuk klasifikasi sentimen vaksin booster pada social media twitter,2024,"Rendahnya cakupan vaksin booster di Indonesia dipengaruhi oleh banyak
faktor dan menuai pro kontra dari masyarakat Indonesia. Cukup banyak
masyarakat yang tidak mau melakukan vaksin booster. Hal ini dikarenakan
dikalangan masyarakat Indonesia masih meragukan keamanan, efektivitas, dan
juga keampuhan vaksin booster. Pro dan kontra tentang vaksin booster ini salah
satunya tertuang pada media social twitter. Masyarakat mengungkapkan opininya
pada media twitter dengan menggunakan hashtag. Studi komputasional dari opini-
opini orang yang menjadi satu disebut dengan sentiment analisis atau opinion
minning. Sentiment analisis merupakan sebuah teknik atau cara yang digunakan
untuk mengidentifikasi bagaimana sebuah sentiment diekspresikan sebagai
sentiment positif maupun sentiment negative. Teknik yang digunakan untuk
mengklasifiksikan sentiment analisis tersebut yaitu Support Vector Machine
(SVM). Tujuan dari penelitian ini adalah menerapkan metode algoritma Suport
Vector Machine (SVM) untuk mengklasifikasikan sentiment vaksin booster pada
social media twitter. Hasil dari penelitian ini diperoleh pada proses K-fold cross
validation nilai akurasi tertinggi yang dihasilkan menggunakan metode Support
Vector Machine (SVM) berdasarkan langkah uji ketiga di KF = 10 yaitu 84% dan
nilai akurasi terendah yaitu 52% dengan menggunakan KF = 10 pada langkah uji
ini mendapat nilai akurasi sebesar 73% dan lebih tinggi dari pada langkah uji yang
menggunkan k-fold 2 dan k-fold 5.",https://drive.google.com/file/d/1q8DiIvGyulrh4bWhPf9SWh2Pu39gBvK_/view?usp=sharing,"support vector machine, vaksin booster, sentimen analisis, twitter."
rafif zuhdi filiatno,klasifikasi penentuan penerima program indonesia pintar menggunakan algoritma c4.5 pada siswa smk negeri 6 jember,2024,"Program Indonesia Pintar saat ini sangat dibutuhkan siswa tidak mampu
untuk menempuh jenjang pendidikan dengan memberikan dana bantuan berupa
uang tunai. Tak sedikit program PIP di beberapa sekolah termasuk SMKN 6
Jember mengalami permasalahan klasifikasi yang kurang tepat pada pengajuan
siswa yang seharusnya mendapatkan dana bantuan PIP. Oleh karena itu, algoritma
C.45 merupakan salah satu solusi mengatasi permasalahan untuk mengklasifikasi
siswa yang layak dan tidak layak mendapatkan bantuan PIP dengan membaca pola
decision tree klasifikasi sebelumnya pada pengajuan dana bantuan PIP SMKN 6
jember. C4.5 memiliki kelebihan pada penggunaan yang lebih efisien pada
permasalahan klasifikasi, dan kemampuannya yang unggul dalam memprediksi
dengan akurasi yang optimal, sehingga menghasilkan pohon keputusan yang
mudah di intepretasikan. Dataset untuk pengujian klasifikasi memiliki enam
atribut, meliputi ‘pemegang SKTM’, ‘Pemegang KPS’, ‘Penghasilan Ayah’,
‘Pendidikan Ayah’, dan ‘Status Pekerjaan Ibu’. Evaluasi pengujian dilakukan
dengan menggunakan 501 data dengan pengujian 2-fold cross validation, 5-fold
cross validation, 10-fold cross validation. Pengukuran akurasi diukur dengan
confusion matriks meliputi nilai akurasi, presisi, dan recall. Hasil penelitian
menunjukkan nilai akurasi tertinggi pada 5-fold cross validation sebesar 97,01%,
nilai presisi tertinggi pada 2-fold cross validation sebesar 94,53%, dan nilai recall
tertinggi pada 5-fold cross validation sebesar 94,07%.",https://drive.google.com/file/d/1ar5WDD_b4ruXtnSrnrrqJAoEERbuWmor/view?usp=sharing,"algoritma c4.5, klasifikasi, program indonesia pintar."
tito alif firdaus,klasifikasi tingkat sosial ekonomi calon pengantin pria menggunakan algoritma naive bayes classifier,2024,"Pernikahan sebuah cara yang dipilih Allah SWT untuk manusia agar berkembang dan
melestarikan hidupnya. Keharmonisan sebuah keluarga yaitu seluruh anggota keluarga
dapat berhubungan secara serasi dan seimbang, saling memuaskan dan memenuhi
kebutuhan anggota keluarga yang lainnya dan memperoleh pemuasan atas segala
kebutuhannya agar dapat merasakan kebahagiaan. Pernikahan dini terjadi dikarenakan
pergaulan bebas yang tidak terkendali, seperti hamil di luar nikah dan alasan ekonomi.
Penerapan algoritma Naive Bayes Classifier merupakan sebuah algoritma atau cara untuk
mencari dan membuat keputusan masalah tersebut dengan memperhitungkan berbagai
macam faktor yang ada di dalam lingkup masalah. Algoritma Naïve Bayes sangat menarik
untuk dibahas karena dari penelitian sebelumnya algoritma ini mampu memanfaatkan data
training untuk menghasilkan probabilitas setiap kriteria untuk kelas yang berbeda seperti
melakukan prediksi minat beli pelanggan terhadap kartu internet yang baru akan
diluncurkan dengan melakukan prediksi berdasarkan kartu internet yang sudah beredar
sebelumnya. Untuk penelitian ini memiliki data sebanyak 200 dan di proses secara
klasifikasi data menggunakan algoritma Naïve Bayes Classifier menghasilkan angka
persentase di akurasi 82%, presisi 86% dan recall 100%. Sehingga sebagai calon pengantin
pria dapat dikatakan layak di klasifikasi akurasi dan recall, sedangkan di klasifikasi presisi
calon pengantin pria masih belum cukup untuk dikatakan layak dalam hal sosial
ekonominya.",https://drive.google.com/file/d/1yzgbSque3Ys5Ky88krx28aOihjx3Ai1A/view?usp=sharing,"pernikahan dini, dppkb, metode naive bayes."
m. hadyan risqi firmansyah,penerapan algoritma k-nearest neighbor untuk klasifikasi sentimen pengguna twitter terhadap aplikasi chatgpt,2024,"Salah satu teknologi saat ini yang sedang populer digunakan oleh masyarakat yaitu
chatbot AI bernama ChatGPT yang merupakan robot yang memanfaatkan
kecerdasan buatan yang dapat melakukan interaksi dan mempermudah manusia
dalam mengerjakan berbagai tugas. ChatGPT masih mempunyai batasan-batasan
seperti respons yang tidak konsisten dan pemahaman konteks yang terbatas. Selain
itu adanya kekhawatiran beberapa platform pembelajaran mungkin kehilangan daya
tariknya karena mulai beralih ke bantuan dari ChatGPT yang memungkinkan
banyak masyarakat pengguna chatgpt juga menuangkan berbagai opini, kritik, dan
sarannya pada media sosial twitter. Maka dari itu dilakukanlah analisis sentimen ini
untuk mengetahui seberapa besar kepuasan masyarakat terhadap aplikasi chatgpt
ini. Dalam penelitian ini menggunakan metode K-Nearest Neighbor untuk
mengklasifikasikan ulasan positif dan negatif. Pemilihan algoritma ini didasarkan
pada kinerja akurat dan efektifitasnya, terutama ketika diterapkan pada kumpulan
data latih yang besar dan cenderung mengandung informasi yang tidak relevan atau
bising. Pengujian validasi dilakukan menggunakan metode 10-Fold Cross
Validation untuk menilai akurasi hasil penelitian. Jumlah data yang digunakan
meliputi 3000 data dimana penelitian ini hanya menggunakan data sentimen positif
dan negatif saja, sehingga tersisa 988 data yang akan menjadi fokus analisis
penelitian. Dari hasil penelitian, disimpulkan bahwa penerapan teknik
undersampling efektif dalam memperbaiki keseimbangan antara kelas minoritas
dan mayoritas pada dataset dengan hasil paling optimal menggunakan pengujian kfold sebesar 8 dengan nilai KNN k=9 dengan akurasi yaitu 74.59%, precision
77.64%, dan recall 69.06%. Sedangkan pada kondisi dataset yang belum di
undersampling, hasil paling optimal menggunakan pengujian k-fold sebesar 8
dengan nilai KNN k=7 dengan akurasi 74.29% dan recall 85.78%, kemudian
precision sebesar 77.86% dengan nilai k=5.",https://drive.google.com/file/d/1Rk-83HXXUBTGV4iLmn1vThpnoBHMLb8l/view?usp=sharing," analisis sentimen, twitter, chatgpt, k-nearest neighbor."
"achmad haris 
",analisis implementasi seo (search engine optimization) dalam kebutuhan promosi online pada website masteriwak.id ,2024,"Perkembangan teknologi informasi yang sangat pesat saat ini banyak dimanfaatkan
oleh pelaku bisnis sebagai teknik pemasaran online. Website merupakan salah satu
teknologi yang efektif sebagai media promosi dikarenakan biayanya yang murah
serta jangkauannya yang luas. SEO (Search Engine Optimization) merupakan
metode promosi online dengan cara memanfaatkan pengoptimalan mesin pencari
Google agar website yang sudah dibuat mendapatkan peringkat teratas atau
halaman pertama pada halaman pencarian Google. Penelitian ini bertujuan untuk
menerapkan metode SEO pada website Masteriwak.com. Adapun teknik-teknik
SEO yang dilakukan yaitu dengan meriset kata kunci, optimasi SEO on page
dengan pengoptimalan desain tampilan website, pembuatan artikel SEO,
pengaturan meta title, pengaturan meta deskripsi, optimasi kecepatan website,
implementasi SEO off page berupa backlink. Pada akhir pengujian dilakukan
pengujian Normalitas Kolmorgov Smirnov dan Uji Nilai T berpasangan sebagai
tolak ukur keberhasilan penerapan teknik SEO. Hasil dari penerapan SEO mampu
meningkatkan ranking SERPRobot, data tayangan Google Search Console, dan data
klik Google Search Console secara signifikan pada website Masteriwak.com. ",https://drive.google.com/file/d/1LgxxwYDAX0S3sghkL_rCC0M1daBLxgvc/view?usp=sharing,"website, seo, serp."
nur hidayani,"implementasi augmented reality dalam aplikasi media interaktif edukasi untuk anak taman kanak-kanak
dengan tujuan peningkatan pemahaman kognitif",2024,"Pada dunia pendidikan khususnya pada pendidikan taman kanak-kanak
terjadi permasalahan pemanfaaatan teknologi yakni ketergantungan yang
berlebihan terhadap gadget. Adapun solusi yang diberikan dari permasalahan
tersebut yakni pembelajaran berbasis Augmented Reality dengan menggunakan
metode marker based, aplikasi ini memberikan pengalaman yang inovatif dan
interaktif melalui tampilan 2 dimensi dan 3 dimensi serta tampilan visual dan
audio. Data dikumpulkan melalui metode kuesioner yang akan diisi responden
sebelum dan sesudah menggunakan aplikasi, selanjutnya hasil data yang diperoleh
dihitung menggunakan rumus Skala Likert untuk mengetahui peningkatan
pemahaman kognitif pada anak taman kanak-kanak. Hasil penelitian
menunjukkan bahwa aplikasi media interaktif edukasi untuk anak taman kanak-
kanak dengan tujuan peningkatan pemahaman kognitif dalam aplikasi HICIHAA
terbukti menunjukkan adanya peningkatan 17,09 % pada aspek pemahaman
kognitif.",https://drive.google.com/file/d/1JeKvxqvmAldeQyV3gyasUx1cTI4Fprtu/view?usp=sharing,"augmented reality, marker based, hicihaa, taman kanak-
kanak, pemahaman kognitif."
wildan humaini,"penerapan metode holt-winter exponential smoothing pada sistem peramalan hasil panen jamur tiram
di cv pondok jamur pak haji",2024,"Penelitian ini bertujuan untuk mengetahui prediksi hasil panen jamur tiram
dimasa depan dengan menerapkan metode Holt-Winters Exponential Smoothing
dan untuk mengetahui nilai presentase kesalahan rata rata pada prediksi hasil panen
jamur tiram dengan mengunakan MAPE metode Holt-Winter Exponential
Smoothing. Pada penelitian ini akan meramalkan atau memprediksi hasil panen
jamur tiram yang memberikan hasil rekomendasi berapa baglog yang akan
digunakan dalam penanaman bibit di pondok jamur pak haji dan diperoleh hasil 104
data. Maka dari itu, hasil dari penelitian ini menggunakan hasil peramalan yang
menghasilkan nilai peramalan 107,736 sebagai landasan untuk menghitung
rekomendasi berapa jumlah bibit yang ditanam, nilai prediksi hasil panen akan
dikalikan dengan 12 mingu, lalu dikalikan 2 baglog, hal ini dikarenakan 1kg bobot
jamur tiram sama dengan 2 baglog menghasilkan rekomendasi 2371 pada 3 bulan
selanjutnya. Dalam menerapkan metode Holt-Winters Exponential Smoothing
dengan efektif maka diperlukan sebuah penentuan kombinasi parameter yang tepat
guna meminimalkan nilai Mean Absolute Percentage Error. Diketahui bahwa
kombinasi parameter yang menghasilkan nilai MAPE terkecil adalah alpha = 0.2,
beta = 0.1 dan gamma = 0.3, dengan nilai MAPE sebesar1,982086002. Dari hasil
tersebut. Dapat disimpulkan memiliki nilai MAPE dibawah 10% menunjukan
tingkat akurasi yang tinggi.",https://drive.google.com/file/d/1pQm35BtbdO2wdtmYmxAJFR6rs8PWj1PE/view?usp=sharing,"peramalan hasil panen, holt-winter exponential smoothing."
moh husaini,perbandingan kinerja pemblokiran situs porno menggunakan layer 7 protocol dan squid proxy,2024,"Perkembangan akses internet yang sangat pesat membuat semua orang dapat
menggunakan untuk mencari informasi secara cepat dan akurat. Kemudahan
mengakses internet menyebabkan banyak orang mengakses hal negative seperti
situs-situs pornografi dengan berbagai bentuk dapat dibuka setiap saat. Penelitian
ini dilakukan dengan tujuan untuk membandingkan efektifitas (keberhasilan),
efisiensi (kecepatan), dan penggunaan resource pada layer 7 protocol dan squid
proxy saat memblokir situs pornografi. Metode yang diguanakan dalam penelitian
yaitu metode kuantitatif, dari penelitian yang dilakukan diperoleh hasil layer 7
protocol memblokir situs pornografi dengan rata-rata waktu tercepat 11,3 detik
serta penggunaan resource lebih kecil 5%. Sedangkan squid proxy juga bisa
memblokir situs pronografi dengan rata-rata waktu tercepat 0,518 detik serta
penggunaan resource yang lebih tinggi 7,3%. Dan kesimpulan yang diperoleh
yaitu Pemblokiran situs pornografi memakai squid proxy lebih efektif, efisien,
walupun penggunaan resource yang lebih tinggi.",https://drive.google.com/file/d/1k-rAIxd0hd1LP_nspQgOWVPOkcgWTpSu/view?usp=sharing,"pornografi, layer 7 protocol, squid proxy."
david mohammad iqbal,"analisis metode moving average dan exponential smoothing untuk meramalkan jumlah pasien di rumah
sakit islam orpeha tulungagung",2024,"Rumah Sakit Islam ORPEHA Tulungagung, sebuah rumah sakit swasta di
Tulungagung, sering kali memiliki jumlah pasien rawat inap yang melebihi kapasitas,
sehingga mempengaruhi kualitas pelayanan. Pelayanan tersebut meliputi waktu tunggu
menjadi lama, fasilitas ruang yang kurang nyaman, persediaan obat-obatan serta
fasilitas penunjang lainnya di rumah sakit. Oleh karena itu, diperlukan metode
peramalan untuk mengetahui jumlah pasien yang akan rawat inap di masa mendatang
sehingga memudahkan perencanaan dan pengambilan keputusan terkait peningkatan
fasilitas pelayanan. Metode peramalan yang digunakan meliputi Single Moving
Average, Weighted Moving Average, dan Single Exponential Smoothing yang cukup
sederhana dan sesuai untuk peramalan jangka pendek untuk memprediksikan jumlah
pasien rawat inap di masa depan. Hasil peramalan menunjukkan bahwa ketiga metode
tersebut efektif, dengan nilai Mean Absolute Percentage Error (MAPE) di bawah 30%:
Single Moving Average 9,40%, Weighted Moving Average 10,68%, dan Single
Exponential Smoothing 17,73%.",https://drive.google.com/file/d/1Paw1sHcJn51NNq5fDiyfEtbQfwuj5ift/view?usp=sharing,"peramalan, moving average, exponential smoothing, rsi orpeha."
rizmawan iqbal lutfi,"sentimen analisis opini publik terhadap calon pns yang mundur setelah lolos dengan teknik berbasis
multinomial naive bayes",2024,"Sejumlah 105 calon pegawai negeri sipil yang lolos seleksi tahun 2021 ditemukan
mundur dan menyebabkan komentar netizen Indonesia melalui media sosial
terutama YouTube. Komentar pengguna YouTube digunakan untuk melihat
seberapa besar sentimen negatif, positif, netral sehingga menjadi sumber analisis
penelitian, menganalisis komentar dimaksud untuk mengetahui dampak video
dan umpan balik publik berupa sentimen positif atau negatif mengenai
pengunduran diri calon pegawai negeri sipil yang lolos seleksi melalui video di
channel YouTube. Penelitian ini akan membandingkan hasil akurasi, presisi, recall
dan f1-score dari proses klasfikasi Multinomial Naïve Bayes setelah dan tanpa
menggunakan seleksi fitur Chi-Square. Hasil performa akurasi, presisi, recall, f1-
score tertinggi yang dihasilkan metode Multinomial Naïve Bayes tanpa seleksi
fitur Chi-Square menghasilkan nilai 58%. Sedangkan hasil performa akurasi
tertinggi metode Multinomial Naïve Bayes menggunakan seleksi fitur Chi-Square
dengan 20% dan 60% fitur diperoleh nilai 78%, nilai presisi 78%, nilai recall
sebesar 78%, nilai f1-score sebesar 78%. Pada penelitian ini seleksi fitur Chi-
Square menghasilkan performa akurasi, presisi, recall dan f1-score lebih tinggi
dari pada tanpa seleksi fitur Chi-Square.",https://drive.google.com/file/d/1--WPPp_iG5gh_7xONZRO8PRzokGwQUIM/view?usp=sharing,"analisis sentimen, chi-square, multinomial naive bayes, tf-idf,
youtube."
irfan samsu nurhuda,implementasi kubernetes untuk meningkatkan skalabilitas aplikasi malldesa dengan menggunakan horizontal pod autoscaling,2024,"Tujuan dari penelitian ini adalah merancang dan mengimplementasikan
Kubernetes pada MallDesa dengan menggunakan metode Horizontal Pod
Autoscaling serta mengetahui kinerja Malldesa terhadap kemampuan dalam
menangani beban kerja dan lalu lintas data. Dalam penelitian ini, penulis
menggunakan metode Waterfall sebagai metode dalam mengimpelementasikan
Horizontal Pod Autoscaling pada MallDesa. Berdasarkan penelitian serta hasil
pengujian ini, didapatkan kesimpulan sebagai berikut: 1) Implementasi
Kubernetes pada MallDesa dengan menggunakan metode Horizontal Pod
Autoscaling dapat dilakukan dan berjalan dengan cukup baik, serta metode yang
digunakan dapat menjadi solusi dalam melakukan penskalaan secara otomatis. 2)
Beban kerja dibagi secara seimbang antar node. Sistem juga dapat memperkirakan
kapan pod akan diperbanyak dan dikurangi. 3) Dilihat dari segi throughput,
response time dan error response, hasil pengujian menunjukkan kinerja
Kubernetes lebih optimal pada skala pengguna besar 1000 thread dan diatasnya.
Sedangkan untuk pengguna 100 thread dan 500 thread aspek throughput,
response time dan error response masih cukup besar dibandingkan pada
mekanisme deployment menggunakan monolithic architecture.",https://drive.google.com/file/d/1YNPC7LQKSxGpDcr19NsHwJ6nvEv2Wrfp/view?usp=sharing,"kubernetes, malldesa, metode horizontal pod autoscaling."
wisnu agung endra pradana,sistem pakar diagnosa gizi buruk terhadap balita berbasis web menggunakan metode forward chaining,2024,"Balita yang kekurangan gizi memiliki berat badan dan tinggi badan yang
jauh di bawah standar rasio berat/tinggi badan. penyakit ini tidak menular dan
disebabkan kurangnya asupan energi dan protein dalam jangka panjang sehingga
mengakibatkan menurunya BB dan TB pada balita. Gizi buruk mengakibatkan
melambatnya kemampuan motorik anak, daya tahan tubuh melemah, serta
terjadinya hambatan pada pertumbuhan fisik anak (Stunting). Maka dari itu
dibutuhkan edukasi terhadap orang tua guna ikut serta mengurangi tingkat gizi
buruk pada anak terutama balita. Sistem pakar dapat membantu mengenali,
mencegah, serta mencari solusi tentunya dari pakar gizi yang ada di dunia. Dengan
demikian para orang tua mampu lebih bijak terhadap gizi yang diberikan terhadap
anak mereka. Dari hasil diagnosa sistem pakar yang meliputi 30 peserta diperoleh
tingkat akurasi 80%, maka ini membuktikan bahwa metode Forward Chaining
dapat bekerja pada sistem pakar diagnosa gizi buruk terhadap balita di kabupaten
jember dengan baik.",https://drive.google.com/file/d/1PkqiolZx1dyxja5IFUU-glbcT9-2PvZR/view?usp=sharing,"sistem pakar, gizi buruk, forward chaining."
